model_type,mse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,num_leaves,min_child_samples,min_samples_split,min_samples_leaf,max_features
xgb,7.023074201502347e-07,800,12,0.07605735498898308,0.8441809719456527,0.90832887599105,0.4240705414130084,0.0051679323581627626,0.0016954466951672727,,,,,
lgb,5.82445211524829e-08,300,17,0.0809661906948052,0.709160411295632,0.7426064603256126,,0.0010220857862899386,0.0018504202743750864,93.0,10.0,,,
rf,2.0923393753393813e-08,100,5,,,,,,,,,2.0,1.0,log2
